entry_time,exit_time,R,side,leg,reason
2024-07-22 14:45:00+09:00,2024-07-22 16:30:00+09:00,1.8064676369872248,SHORT,leg2,TRAIL_EMA
2024-10-09 14:30:00+09:00,2024-10-09 15:00:00+09:00,0.5531176071685431,LONG,leg1,TP1
2024-10-09 14:30:00+09:00,2024-10-09 15:30:00+09:00,-0.03154541068870416,LONG,leg2,SL
2024-10-10 13:45:00+09:00,2024-10-10 14:15:00+09:00,-0.5437206962439916,LONG,leg1,SL
2024-10-10 13:45:00+09:00,2024-10-10 14:15:00+09:00,-0.5437206962439916,LONG,leg2,SL
2024-11-13 17:30:00+09:00,2024-11-13 17:30:00+09:00,-0.5308750105838752,LONG,leg1,SL
2024-11-13 17:30:00+09:00,2024-11-13 17:30:00+09:00,-0.5308750105838752,LONG,leg2,SL
2024-11-20 15:30:00+09:00,2024-11-20 16:15:00+09:00,0.5597500081321878,LONG,leg1,TP1
2024-11-20 15:30:00+09:00,2024-11-20 21:15:00+09:00,1.505111834976924,LONG,leg2,TRAIL_EMA
2024-12-23 16:30:00+09:00,2024-12-23 16:30:00+09:00,-0.5465949072646379,LONG,leg2,SL
2024-12-23 16:30:00+09:00,2024-12-23 16:30:00+09:00,-0.5465949072646379,LONG,leg1,SL
2024-12-23 17:00:00+09:00,2024-12-23 17:00:00+09:00,-0.5429118226815106,LONG,leg1,SL
2024-12-23 17:00:00+09:00,2024-12-23 17:00:00+09:00,-0.5429118226815106,LONG,leg2,SL
2025-01-15 16:45:00+09:00,2025-01-15 16:45:00+09:00,0.5609389382506569,SHORT,leg1,TP1
2025-01-15 16:45:00+09:00,2025-01-15 17:30:00+09:00,-0.02709031374066437,SHORT,leg2,SL
2025-03-13 15:00:00+09:00,2025-03-13 15:15:00+09:00,0.5549355397311547,SHORT,leg1,TP1
2025-03-13 15:00:00+09:00,2025-03-13 15:45:00+09:00,-0.027768184703634822,SHORT,leg2,SL
2025-03-18 15:15:00+09:00,2025-03-18 17:00:00+09:00,0.5556034943755814,LONG,leg1,TP1
2025-03-18 15:15:00+09:00,2025-03-18 17:30:00+09:00,-0.03812873919621826,LONG,leg2,SL
2025-03-21 13:30:00+09:00,2025-03-21 14:15:00+09:00,0.552234920125399,LONG,leg1,TP1
2025-03-21 13:30:00+09:00,2025-03-21 16:00:00+09:00,-0.03179139551270061,LONG,leg2,SL
2025-06-02 16:00:00+09:00,2025-06-02 16:00:00+09:00,0.5539789169347107,SHORT,leg1,TP1
2025-06-02 16:00:00+09:00,2025-06-02 18:45:00+09:00,1.3858486720119583,SHORT,leg2,TRAIL_EMA
2025-06-11 15:30:00+09:00,2025-06-11 15:30:00+09:00,-0.526611814329825,LONG,leg1,SL
2025-06-11 15:30:00+09:00,2025-06-11 15:30:00+09:00,-0.526611814329825,LONG,leg2,SL
2025-06-19 17:00:00+09:00,2025-06-19 17:45:00+09:00,-0.5287536929847443,LONG,leg1,SL
2025-06-19 17:00:00+09:00,2025-06-19 17:45:00+09:00,-0.5287536929847443,LONG,leg2,SL
2025-06-30 14:30:00+09:00,2025-06-30 15:15:00+09:00,-0.5297938532604006,SHORT,leg1,SL
2025-06-30 14:30:00+09:00,2025-06-30 15:15:00+09:00,-0.5297938532604006,SHORT,leg2,SL
2025-07-07 17:00:00+09:00,2025-07-07 17:45:00+09:00,0.568495493248881,LONG,leg1,TP1
2025-07-07 17:00:00+09:00,2025-07-07 20:15:00+09:00,0.960881261300784,LONG,leg2,TRAIL_EMA
